horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
66,1,ridge_h66_m1_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11597384267670026
66,1,ridge_h66_m1_roll22_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.12530768392427935
66,1,ridge_h66_m1_roll22_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.11971715464474114
66,1,ridge_h66_m1_roll22_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.22871384741413658
66,1,ridge_h66_m1_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11783815468583252
66,1,ridge_h66_m1_roll22_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.12480104558858074
66,1,ridge_h66_m1_roll22_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.11992386577401992
66,1,ridge_h66_m1_roll22_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.23122448272135418
66,2,ridge_h66_m2_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.30787927604743237
66,2,ridge_h66_m2_roll22_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.14977750881609564
66,2,ridge_h66_m2_roll22_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08365733042552481
66,2,ridge_h66_m2_roll22_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1509498832607864
66,2,ridge_h66_m2_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.30870255691946424
66,2,ridge_h66_m2_roll22_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.14997197024666012
66,2,ridge_h66_m2_roll22_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08348855327221184
66,2,ridge_h66_m2_roll22_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15115531038926677
66,3,ridge_h66_m3_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.10821971425181237
66,3,ridge_h66_m3_roll22_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.1777189529973557
66,3,ridge_h66_m3_roll22_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1760622883638356
66,3,ridge_h66_m3_roll22_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15313216826352014
66,3,ridge_h66_m3_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.10832254168709558
66,3,ridge_h66_m3_roll22_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17760540911307446
66,3,ridge_h66_m3_roll22_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1765049311516255
66,3,ridge_h66_m3_roll22_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15183245479746973
66,4,ridge_h66_m4_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11545635043641127
66,4,ridge_h66_m4_roll66_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.19117941262757626
66,4,ridge_h66_m4_roll66_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1354987248303587
66,4,ridge_h66_m4_roll66_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.17622167351552667
66,4,ridge_h66_m4_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11546391723473619
66,4,ridge_h66_m4_roll66_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.19175204856156197
66,4,ridge_h66_m4_roll66_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.13703665713399651
66,4,ridge_h66_m4_roll66_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.17403925547245394
66,5,ridge_h66_m5_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.08360876619065699
66,5,ridge_h66_m5_roll22_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.1452102290970468
66,5,ridge_h66_m5_roll22_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.09047601258522407
66,5,ridge_h66_m5_roll22_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.07366965234975222
66,5,ridge_h66_m5_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.09556784900953491
66,5,ridge_h66_m5_roll22_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.14595450482582786
66,5,ridge_h66_m5_roll22_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08999530662506043
66,5,ridge_h66_m5_roll22_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.0735354962378429
66,6,ridge_h66_m6_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.1548875254470003
66,6,ridge_h66_m6_roll66_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.15967730506037012
66,6,ridge_h66_m6_roll66_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.11594761915578529
66,6,ridge_h66_m6_roll66_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1094078962562539
66,6,ridge_h66_m6_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.15031687116173728
66,6,ridge_h66_m6_roll66_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.16855774813913005
66,6,ridge_h66_m6_roll66_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.12056286043521017
66,6,ridge_h66_m6_roll66_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.11420804606836464
66,7,ridge_h66_m7_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.20782774370530113
66,7,ridge_h66_m7_roll66_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.23068829789208245
66,7,ridge_h66_m7_roll66_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.25348853829723456
66,7,ridge_h66_m7_roll66_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.3584944771944871
66,7,ridge_h66_m7_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.1995137173269022
66,7,ridge_h66_m7_roll66_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.23057420629843428
66,7,ridge_h66_m7_roll66_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.2520636159885185
66,7,ridge_h66_m7_roll66_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.37998271187902266
66,8,ridge_h66_m8_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.2843448226361615
66,8,ridge_h66_m8_roll66_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.2802778589608719
66,8,ridge_h66_m8_roll66_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.17910460224134403
66,8,ridge_h66_m8_roll66_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.09942127059359919
66,8,ridge_h66_m8_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.2869286284288525
66,8,ridge_h66_m8_roll66_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.28824075783324676
66,8,ridge_h66_m8_roll66_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.17266008495112287
66,8,ridge_h66_m8_roll66_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.09882289517415631
66,9,ridge_h66_m9_no_roll_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.21908759150990356
66,9,ridge_h66_m9_no_roll_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.3955820887292667
66,9,ridge_h66_m9_no_roll_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.15792935896339896
66,9,ridge_h66_m9_no_roll_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.11917860633141826
66,9,ridge_h66_m9_no_roll_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.22175074624411586
66,9,ridge_h66_m9_no_roll_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.39355326665709117
66,9,ridge_h66_m9_no_roll_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.15693332503720325
66,9,ridge_h66_m9_no_roll_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.11967366165671812
66,10,ridge_h66_m10_roll10_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.1403207236389019
66,10,ridge_h66_m10_roll10_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.15560000420431785
66,10,ridge_h66_m10_roll10_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08319481058151106
66,10,ridge_h66_m10_roll10_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.10382443892422316
66,10,ridge_h66_m10_roll10_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.13984048970910556
66,10,ridge_h66_m10_roll10_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.15601380294009873
66,10,ridge_h66_m10_roll10_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08323243055093343
66,10,ridge_h66_m10_roll10_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.10379830450602792
66,11,ridge_h66_m11_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.48800267133926245
66,11,ridge_h66_m11_roll66_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.41783273873248744
66,11,ridge_h66_m11_roll66_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.16144457891022496
66,11,ridge_h66_m11_roll66_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.7994002826400769
66,11,ridge_h66_m11_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.4909492839038745
66,11,ridge_h66_m11_roll66_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.42064621379007666
66,11,ridge_h66_m11_roll66_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1620181479765471
66,11,ridge_h66_m11_roll66_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.7980846197253602
66,12,ridge_h66_m12_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,1.4274062700536478
66,12,ridge_h66_m12_roll22_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,1.3132741016008107
66,12,ridge_h66_m12_roll22_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,1.1094654733172649
66,12,ridge_h66_m12_roll22_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,1.016297188856559
66,12,ridge_h66_m12_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,1.4207829964409064
66,12,ridge_h66_m12_roll22_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,1.3018633516743736
66,12,ridge_h66_m12_roll22_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,1.1321862827318925
66,12,ridge_h66_m12_roll22_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,1.037676033080598
66,13,ridge_h66_m13_no_roll_alpha_0.0001,1,2023-12-27,2023-12-28,2024-03-28,66,61,1.895502216967792
66,13,ridge_h66_m13_no_roll_alpha_0.0001,2,2024-03-28,2024-03-29,2024-06-28,66,66,1.7036739466637614
66,13,ridge_h66_m13_no_roll_alpha_0.0001,3,2024-06-28,2024-07-01,2024-09-30,66,66,1.7572068770873317
66,13,ridge_h66_m13_no_roll_alpha_0.0001,4,2024-09-30,2024-10-01,2024-12-31,66,65,1.9186903415417456
66,13,ridge_h66_m13_no_roll_alpha_0.01,1,2023-12-27,2023-12-28,2024-03-28,66,61,1.8955063437432615
66,13,ridge_h66_m13_no_roll_alpha_0.01,2,2024-03-28,2024-03-29,2024-06-28,66,66,1.7036130696564409
66,13,ridge_h66_m13_no_roll_alpha_0.01,3,2024-06-28,2024-07-01,2024-09-30,66,66,1.7571761573219948
66,13,ridge_h66_m13_no_roll_alpha_0.01,4,2024-09-30,2024-10-01,2024-12-31,66,65,1.9186899643945963
