horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_lag132,0.23072761828775828,0.0,0.23072761828775828,2,1
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag132,0.24976913052071326,0.0,0.24976913052071326,2,1
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_mean132_lag132,,,0.0,2,0
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_lag132,0.11869657033192599,0.0,0.11869657033192599,2,1
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_mean5_lag132,0.12150354753666572,0.0,0.12150354753666572,2,1
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_mean132_lag132,,,0.0,2,0
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_lag132,0.1663106292406275,0.0,0.1663106292406275,2,1
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_mean5_lag132,0.16653681457957475,0.0,0.16653681457957475,2,1
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_mean132_lag132,,,0.0,2,0
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_lag132,0.15856655401800332,0.0,0.15856655401800332,2,1
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_mean5_lag132,0.15833567154479267,0.0,0.15833567154479267,2,1
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_mean132_lag132,,,0.0,2,0
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_lag132,0.08928539590549658,0.0,0.08928539590549658,2,1
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_mean5_lag132,0.10166251053469318,0.0,0.10166251053469318,2,1
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_mean132_lag132,,,0.0,2,0
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_lag132,0.12850443192811964,0.0,0.12850443192811964,2,1
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_mean5_lag132,0.11592426447474204,0.0,0.11592426447474204,2,1
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_mean132_lag132,,,0.0,2,0
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_lag132,0.3113239830159085,0.0,0.3113239830159085,2,1
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_mean5_lag132,0.3295797839040036,0.0,0.3295797839040036,2,1
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_mean132_lag132,,,0.0,2,0
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_lag132,0.14734614640308724,0.0,0.14734614640308724,2,1
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_mean5_lag132,0.12755060939790952,0.0,0.12755060939790952,2,1
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_mean132_lag132,,,0.0,2,0
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_lag132,0.15299354322112482,0.0,0.15299354322112482,2,1
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_mean5_lag132,0.13130872941723137,0.0,0.13130872941723137,2,1
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_mean132_lag132,,,0.0,2,0
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_lag132,0.0970402371618973,0.0,0.0970402371618973,2,1
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_mean5_lag132,0.09588285991435783,0.0,0.09588285991435783,2,1
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_mean132_lag132,,,0.0,2,0
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday_input_lag132,0.6381336468289004,0.0,0.6381336468289004,2,1
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday_input_mean5_lag132,0.6420449117438592,0.0,0.6420449117438592,2,1
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday_input_mean132_lag132,,,0.0,2,0
132,12,ridge_h132_m12_roll132_alpha_0.0001_holiday_input_lag132,1.058206387862178,0.0,1.058206387862178,2,1
132,12,ridge_h132_m12_roll132_alpha_0.0001_holiday_input_mean5_lag132,1.056916141523781,0.0,1.056916141523781,2,1
132,12,ridge_h132_m12_roll132_alpha_0.0001_holiday_input_mean132_lag132,,,0.0,2,0
132,13,ridge_h132_m13_no_roll_alpha_0.01_schoolholiday_input_lag132,1.8397304900922438,0.0,1.8397304900922438,2,1
132,13,ridge_h132_m13_no_roll_alpha_0.01_schoolholiday_input_mean5_lag132,1.8420591130158976,0.0,1.8420591130158976,2,1
132,13,ridge_h132_m13_no_roll_alpha_0.01_schoolholiday_input_mean132_lag132,,,0.0,2,0
