material,horizon,candidate,fold,order,seasonal_order,sMAPE
2,10,arima_111,16,"(1, 1, 1)","(0, 0, 0, 0)",0.07096271450696522
2,10,arima_111,17,"(1, 1, 1)","(0, 0, 0, 0)",0.06739855640157592
2,10,arima_111,18,"(1, 1, 1)","(0, 0, 0, 0)",0.08619679772496672
2,10,arima_111,19,"(1, 1, 1)","(0, 0, 0, 0)",0.055740206265655456
2,10,arima_111,20,"(1, 1, 1)","(0, 0, 0, 0)",0.07368911971979984
2,10,arima_111,21,"(1, 1, 1)","(0, 0, 0, 0)",0.1903857794756747
2,10,arima_111,22,"(1, 1, 1)","(0, 0, 0, 0)",0.09339870629297678
2,10,arima_111,23,"(1, 1, 1)","(0, 0, 0, 0)",0.12502377460530786
2,10,arima_111,24,"(1, 1, 1)","(0, 0, 0, 0)",0.0984953481019558
2,10,arima_111,25,"(1, 1, 1)","(0, 0, 0, 0)",0.18718320911515923
2,10,arima_111,26,"(1, 1, 1)","(0, 0, 0, 0)",0.11495232197289962
2,10,arima_111,27,"(1, 1, 1)","(0, 0, 0, 0)",0.15659380612635732
3,10,arima_111,1,"(1, 1, 1)","(0, 0, 0, 0)",0.09477665126290534
3,10,arima_111,2,"(1, 1, 1)","(0, 0, 0, 0)",0.14737388749271982
3,10,arima_111,3,"(1, 1, 1)","(0, 0, 0, 0)",0.10016830185470144
3,10,arima_111,4,"(1, 1, 1)","(0, 0, 0, 0)",0.13407053118965326
3,10,arima_111,5,"(1, 1, 1)","(0, 0, 0, 0)",0.06895844251558579
3,10,arima_111,6,"(1, 1, 1)","(0, 0, 0, 0)",0.113823728081206
3,10,arima_111,7,"(1, 1, 1)","(0, 0, 0, 0)",0.14723255478998487
3,10,arima_111,8,"(1, 1, 1)","(0, 0, 0, 0)",0.1109103655947213
3,10,arima_111,9,"(1, 1, 1)","(0, 0, 0, 0)",0.22644257194994943
3,10,arima_111,10,"(1, 1, 1)","(0, 0, 0, 0)",0.14203201974141186
3,10,arima_111,11,"(1, 1, 1)","(0, 0, 0, 0)",0.3657579141641751
3,10,arima_111,12,"(1, 1, 1)","(0, 0, 0, 0)",0.0887205931046795
3,10,arima_111,13,"(1, 1, 1)","(0, 0, 0, 0)",0.061144134341180024
3,10,arima_111,14,"(1, 1, 1)","(0, 0, 0, 0)",0.1113669746095851
3,10,arima_111,15,"(1, 1, 1)","(0, 0, 0, 0)",0.08925244716980232
3,10,arima_111,16,"(1, 1, 1)","(0, 0, 0, 0)",0.13359797729230746
3,10,arima_111,17,"(1, 1, 1)","(0, 0, 0, 0)",0.3131756658679273
3,10,arima_111,18,"(1, 1, 1)","(0, 0, 0, 0)",0.14723213260472887
3,10,arima_111,19,"(1, 1, 1)","(0, 0, 0, 0)",0.19030486809583796
3,10,arima_111,20,"(1, 1, 1)","(0, 0, 0, 0)",0.08830862969063646
3,10,arima_111,21,"(1, 1, 1)","(0, 0, 0, 0)",0.12075961474778887
3,10,arima_111,22,"(1, 1, 1)","(0, 0, 0, 0)",0.09036022031583452
3,10,arima_111,23,"(1, 1, 1)","(0, 0, 0, 0)",0.10301353071518256
3,10,arima_111,24,"(1, 1, 1)","(0, 0, 0, 0)",0.11043553915958824
3,10,arima_111,25,"(1, 1, 1)","(0, 0, 0, 0)",0.28130697809495875
3,10,arima_111,26,"(1, 1, 1)","(0, 0, 0, 0)",0.07937495068240659
3,10,arima_111,27,"(1, 1, 1)","(0, 0, 0, 0)",0.5457977168711571
3,10,sarima_111_002_5,1,"(1, 1, 1)","(0, 0, 2, 5)",0.09771733362624911
3,10,sarima_111_002_5,2,"(1, 1, 1)","(0, 0, 2, 5)",0.14126684727031022
3,10,sarima_111_002_5,3,"(1, 1, 1)","(0, 0, 2, 5)",0.10986839584211823
3,10,sarima_111_002_5,4,"(1, 1, 1)","(0, 0, 2, 5)",0.13987683250325791
3,10,sarima_111_002_5,5,"(1, 1, 1)","(0, 0, 2, 5)",0.06749732315978622
3,10,sarima_111_002_5,6,"(1, 1, 1)","(0, 0, 2, 5)",0.1148135175697434
3,10,sarima_111_002_5,7,"(1, 1, 1)","(0, 0, 2, 5)",0.14912644920092274
3,10,sarima_111_002_5,8,"(1, 1, 1)","(0, 0, 2, 5)",0.10626633280241
3,10,sarima_111_002_5,9,"(1, 1, 1)","(0, 0, 2, 5)",0.23239344623785485
3,10,sarima_111_002_5,10,"(1, 1, 1)","(0, 0, 2, 5)",0.13238149736076013
3,10,sarima_111_002_5,11,"(1, 1, 1)","(0, 0, 2, 5)",0.36734922531980235
3,10,sarima_111_002_5,12,"(1, 1, 1)","(0, 0, 2, 5)",0.08238294648647376
3,10,sarima_111_002_5,13,"(1, 1, 1)","(0, 0, 2, 5)",0.06204764521205444
3,10,sarima_111_002_5,14,"(1, 1, 1)","(0, 0, 2, 5)",0.1114209519536664
3,10,sarima_111_002_5,15,"(1, 1, 1)","(0, 0, 2, 5)",0.09282617098609802
3,10,sarima_111_002_5,16,"(1, 1, 1)","(0, 0, 2, 5)",0.13108713081509268
3,10,sarima_111_002_5,17,"(1, 1, 1)","(0, 0, 2, 5)",0.31330738499445
3,10,sarima_111_002_5,18,"(1, 1, 1)","(0, 0, 2, 5)",0.14014149606843118
3,10,sarima_111_002_5,19,"(1, 1, 1)","(0, 0, 2, 5)",0.1848601564054106
3,10,sarima_111_002_5,20,"(1, 1, 1)","(0, 0, 2, 5)",0.08275703010155099
3,10,sarima_111_002_5,21,"(1, 1, 1)","(0, 0, 2, 5)",0.12553497921977128
3,10,sarima_111_002_5,22,"(1, 1, 1)","(0, 0, 2, 5)",0.09177071871126145
3,10,sarima_111_002_5,23,"(1, 1, 1)","(0, 0, 2, 5)",0.10423537338249889
