material,horizon,candidate,order,seasonal_order,mean_smape,sum_smape,number_of_folds
7,22,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.24700366220651268,2.964043946478152,12
7,22,sarima_011_100_5,"(0, 1, 1)","(1, 0, 0, 5)",0.24669976202978472,2.9603971443574166,12
8,22,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.20673829575525648,2.480859549063078,12
8,22,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.20499998014250184,2.459999761710022,12
8,22,arima_113,"(1, 1, 3)","(0, 0, 0, 0)",0.20449846377391287,2.4539815652869543,12
8,22,sarima_011_001_5,"(0, 1, 1)","(0, 0, 1, 5)",0.20582103163633458,2.469852379636015,12
9,22,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.1995897664498648,2.3950771973983778,12
9,22,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",0.20194008716666878,2.4232810460000254,12
9,22,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.20180281367017527,2.4216337640421033,12
9,22,arima_311,"(3, 1, 1)","(0, 0, 0, 0)",0.20233806788126693,2.428056814575203,12
10,22,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.1219848497445063,1.4638181969340756,12
10,22,sarima_012_002_5,"(0, 1, 2)","(0, 0, 2, 5)",0.12209426273499058,1.465131152819887,12
11,22,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.4980168275029117,5.97620193003494,12
11,22,sarima_111_001_5,"(1, 1, 1)","(0, 0, 1, 5)",0.4921503429785603,5.905804115742724,12
11,22,sarima_112_001_5,"(1, 1, 2)","(0, 0, 1, 5)",0.5068711443292897,6.082453731951476,12
11,22,sarima_112_100_5,"(1, 1, 2)","(1, 0, 0, 5)",0.4419396006862182,5.303275208234618,12
12,22,arima_201,"(2, 0, 1)","(0, 0, 0, 0)",1.2108263185232941,14.52991582227953,12
12,22,arima_400,"(4, 0, 0)","(0, 0, 0, 0)",1.276434841044004,15.317218092528048,12
12,22,arima_500,"(5, 0, 0)","(0, 0, 0, 0)",1.296698658319656,15.560383899835873,12
13,22,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",1.8371128956032188,22.045354747238626,12
13,22,arima_411,"(4, 1, 1)","(0, 0, 0, 0)",1.8307579847055118,21.96909581646614,12
13,22,sarima_113_002_5,"(1, 1, 3)","(0, 0, 2, 5)",1.8312958445882925,21.97555013505951,12
13,22,sarima_312_101_5,"(3, 1, 2)","(1, 0, 1, 5)",1.8315826375107482,21.97899165012898,12
13,22,sarima_412_101_5,"(4, 1, 2)","(1, 0, 1, 5)",1.8283334829996676,21.94000179599601,12
1,66,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.13350772024666463,0.5340308809866585,4
1,66,sarima_112_100_5,"(1, 1, 2)","(1, 0, 0, 5)",0.11840535962003326,0.47362143848013305,4
2,66,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.21126487747529032,0.8450595099011613,4
3,66,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.16340872311354604,0.6536348924541842,4
3,66,sarima_111_002_5,"(1, 1, 1)","(0, 0, 2, 5)",0.16396346189337424,0.655853847573497,4
4,66,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.16683648560526174,0.667345942421047,4
4,66,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.16723508004649887,0.6689403201859955,4
5,66,arima_102,"(1, 0, 2)","(0, 0, 0, 0)",0.11691107319935616,0.46764429279742464,4
5,66,arima_202,"(2, 0, 2)","(0, 0, 0, 0)",0.11734161127668419,0.46936644510673675,4
5,66,arima_400,"(4, 0, 0)","(0, 0, 0, 0)",0.177519631431857,0.710078525727428,4
5,66,sarima_002_100_5,"(0, 0, 2)","(1, 0, 0, 5)",0.28828541955565523,1.153141678222621,4
5,66,sarima_100_100_5,"(1, 0, 0)","(1, 0, 0, 5)",0.7458750103289497,2.9835000413157986,4
6,66,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.13430140894305267,0.5372056357722107,4
6,66,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.13565142906072963,0.5426057162429185,4
6,66,sarima_011_200_5,"(0, 1, 1)","(2, 0, 0, 5)",0.13443626812565418,0.5377450725026167,4
7,66,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.2869042683067956,1.1476170732271824,4
7,66,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.28760737239271433,1.1504294895708573,4
7,66,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.28746850292694875,1.149874011707795,4
7,66,sarima_011_100_5,"(0, 1, 1)","(1, 0, 0, 5)",0.283922662279215,1.13569064911686,4
8,66,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.23954702074094342,0.9581880829637737,4
8,66,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.23464432198390267,0.9385772879356107,4
8,66,arima_113,"(1, 1, 3)","(0, 0, 0, 0)",0.23370610653744334,0.9348244261497733,4
8,66,sarima_011_001_5,"(0, 1, 1)","(0, 0, 1, 5)",0.23817105766625424,0.952684230665017,4
9,66,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.2957994609664306,1.1831978438657225,4
9,66,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",0.29597126746621355,1.1838850698648542,4
9,66,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.29628027321367123,1.185121092854685,4
9,66,arima_311,"(3, 1, 1)","(0, 0, 0, 0)",0.2943467550012117,1.1773870200048469,4
10,66,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.13890301493338186,0.5556120597335275,4
