horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
132,1,naive,0.21919518788139358,0.038945961907631846,0.43839037576278717,2,2
132,2,naive,1.1330287394662186,0.8669712605337814,2.2660574789324373,2,2
132,3,naive,0.20287166672028978,0.02507063526092644,0.40574333344057956,2,2
132,4,naive,1.0792430850774266,0.9207569149225734,2.1584861701548532,2,2
132,5,naive,0.14473976166843006,0.0640144000053999,0.2894795233368601,2,2
132,6,naive,0.21864389390387673,0.011498698531090867,0.43728778780775346,2,2
132,7,naive,1.2366353119377602,0.7476166565661767,2.4732706238755204,2,2
132,8,naive,0.5029749694710389,0.37295319320439924,1.0059499389420778,2,2
132,9,naive,1.0600462605504883,0.9242057079534486,2.1200925211009767,2,2
132,10,naive,0.27217497393747186,0.10467074582895793,0.5443499478749437,2,2
132,11,naive,0.6015311040700362,0.12323455222866858,1.2030622081400724,2,2
132,12,naive,0.9932269223828355,0.09558912710724499,1.986453844765671,2,2
132,13,naive,0.3729037687083008,0.052293081685400034,0.7458075374166016,2,2
132,1,moving_average,0.16530823006618942,0.03390165679357432,0.33061646013237883,2,2
132,2,moving_average,0.21924281255771788,0.02478238712936412,0.43848562511543576,2,2
132,3,moving_average,0.15428809026104712,0.007281272417582613,0.30857618052209423,2,2
132,4,moving_average,0.16967625086805901,0.010707050374894722,0.33935250173611803,2,2
132,5,moving_average,0.1273319247855406,0.021538098877635165,0.2546638495710812,2,2
132,6,moving_average,0.14925288561983982,0.043119956365886,0.29850577123967964,2,2
132,7,moving_average,0.29834527262505905,0.048193376972425456,0.5966905452501181,2,2
132,8,moving_average,0.28841706659542377,0.02282780346959548,0.5768341331908475,2,2
132,9,moving_average,0.2345453530891327,0.03556006720544158,0.4690907061782654,2,2
132,10,moving_average,0.12680015286885132,0.018180680522854126,0.25360030573770265,2,2
132,11,moving_average,0.4258261198128135,0.05826220468943158,0.851652239625627,2,2
132,12,moving_average,1.2650940572897362,0.07164014852243605,2.5301881145794725,2,2
132,13,moving_average,1.8401616885613326,0.0038605748367952497,3.680323377122665,2,2
132,1,arima_112,0.15547893407594704,0.03027036524922333,0.3109578681518941,2,2
132,2,arima_111,0.19188415806862227,0.0691579954127037,0.38376831613724455,2,2
132,3,arima_111,0.15601655488874028,0.0062853297218634085,0.31203310977748056,2,2
132,8,arima_111,0.28943159147806785,0.09012872246394207,0.5788631829561357,2,2
132,4,arima_012,0.17296132361809313,0.013386146675703606,0.34592264723618626,2,2
132,5,arima_102,0.13982612161879876,0.05949240966932624,0.2796522432375975,2,2
132,6,arima_011,0.16240691905087826,0.049106140946548534,0.3248138381017565,2,2
132,7,sarima_011_100_5,0.3493899675586827,0.017336104598754676,0.6987799351173654,2,2
132,9,arima_013,0.30672070379594923,0.08626260100648765,0.6134414075918985,2,2
132,10,sarima_012_002_5,0.15465937853811643,0.036079869823796,0.30931875707623285,2,2
132,11,sarima_112_100_5,0.4354961615564681,0.06176742155410195,0.8709923231129362,2,2
132,12,arima_400,1.1742887010878014,0.23388541044249733,2.3485774021756027,2,2
132,13,sarima_113_002_5,1.8343843240244135,0.0025524060366036716,3.668768648048827,2,2
132,1,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.17394544855968808,0.047183699125412495,0.34789089711937615,2,2
132,2,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.17734262937030296,0.055874750729008105,0.3546852587406059,2,2
132,3,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.15664690361059783,0.011476667109369482,0.31329380722119565,2,2
132,4,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.17118565044874323,0.0016226919497660114,0.34237130089748646,2,2
132,5,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.11862413851976296,0.029477131330210307,0.23724827703952592,2,2
132,6,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.1504803815092118,0.02009130595734135,0.3009607630184236,2,2
132,7,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.2706635835641281,0.053064077526482095,0.5413271671282562,2,2
132,8,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.24449729266606873,0.11254352218969417,0.48899458533213747,2,2
132,9,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.23939173757699111,0.09537334094241334,0.47878347515398223,2,2
132,10,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.127535365064488,0.031057055493266296,0.255070730128976,2,2
132,11,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,0.5793008625478326,0.06903132879701646,1.1586017250956653,2,2
132,12,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,1.2245953455902847,0.12966134689007347,2.4491906911805694,2,2
132,13,ridge_h132_lags_1_5_10_22_66_132_alpha_0.001,1.8096207525138472,0.030501542726924624,3.6192415050276945,2,2
132,1,ridge_h132_lags_1_2_3_4_5_10_22_66_132_alpha_0.001,0.1705106330706968,0.04952639286541646,0.3410212661413936,2,2
132,2,ridge_h132_lags_1_2_3_4_5_10_22_66_132_alpha_0.001,0.18124808127623698,0.053013536545096024,0.36249616255247397,2,2
