horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.16989060302641093
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.11393957402815247
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.12266181135890035
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.2513164840928025
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.17808362307784387
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.11216247398238847
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.12219944430993593
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.2498925438979809
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean66_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean66_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.1272763272990591
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean66_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.13685289931023814
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean66_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.2611800021499238
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.2980852737497481
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.15863467256994512
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08460367601114878
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15378098790193948
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean5_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.29800612852497854
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean5_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.15963532355422
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean5_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08512518332800169
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean5_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15140500880601587
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean66_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean66_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17096938044634288
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean66_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.12671447921962628
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean66_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15570983731449187
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11036892066236717
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17986095799096802
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.17251174964967966
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.14718719137744346
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean5_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.10669206844659875
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean5_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17527535803340272
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean5_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1715229065444026
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean5_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.14979240316499928
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean66_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean66_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17377755718627688
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean66_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.17233149004233128
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean66_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1558472302855483
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11393278769330017
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17963505764978457
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.13631209861422686
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1769056300879048
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_mean5_lag66,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11246840807467662
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_mean5_lag66,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17731706631514368
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_mean5_lag66,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.13572033757757357
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_mean5_lag66,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1784148798761206
